,zmu_origin,zmu_destination,OD_counts
607,1001111,1001137,3
608,1001112,1000306,2
609,1001112,1000306,2
610,1001114,1000122,1
611,1001115,1001118,3
612,1001115,1001118,3
613,1001115,1001118,3
614,1001116,1000812,5
615,1001116,1000812,5
616,1001116,1000812,5
617,1001116,1000812,5
618,1001116,1000812,5
619,1001119,1000103,2
620,1001119,1000103,2
621,1001121,1001204,1
622,1001121,1001265,2
623,1001121,1001265,2
624,1001122,1001241,1
625,1001123,1001106,2
626,1001123,1001106,2
627,1001124,1001124,1
628,1001125,1058131,1
629,1001126,1001124,1
630,1001131,1001143,2
631,1001131,1001143,2
632,1001134,1000185,1
633,1001134,1000638,2
634,1001134,1000638,2
635,1001134,1001204,2
636,1001134,1001204,2
637,1001137,1001231,3
638,1001137,1001231,3
639,1001137,1001231,3
640,1001139,1001115,1
641,1001143,1000130,2
642,1001143,1000130,2
643,1001201,1001207,2
644,1001201,1001207,2
645,1001202,1001205,1
646,1001203,1001141,1
647,1001203,1001223,5
648,1001203,1001223,5
649,1001203,1001223,5
650,1001203,1001223,5
651,1001203,1001223,5
652,1001203,1001228,5
653,1001203,1001228,5
654,1001203,1001228,5
655,1001203,1001228,5
656,1001203,1001228,5
657,1001203,1001537,2
658,1001203,1001537,2
659,1001204,1000864,3
660,1001204,1000864,3
661,1001204,1000864,3
662,1001204,1001202,1
663,1001204,1001227,2
664,1001204,1001227,2
665,1001204,1001266,1
666,1001204,1001523,1
667,1001205,1000119,1
668,1001207,1001218,6
669,1001207,1001218,6
670,1001207,1001218,6
671,1001207,1001218,6
672,1001207,1001218,6
673,1001207,1001218,6
674,1001208,1000831,1
675,1001208,1001218,2
676,1001208,1001218,2
677,1001208,1058016,3
678,1001208,1058016,3
679,1001208,1058016,3
680,1001210,1001241,2
681,1001210,1001241,2
682,1001211,1000555,2
683,1001211,1000555,2
684,1001211,1001112,1
685,1001211,1001133,1
686,1001211,1001266,2
687,1001211,1001266,2
688,1001212,1001226,8
689,1001212,1001226,8
690,1001212,1001226,8
691,1001212,1001226,8
692,1001212,1001226,8
693,1001212,1001226,8
694,1001212,1001226,8
695,1001212,1001226,8
696,1001212,1058133,4
697,1001212,1058133,4
698,1001212,1058133,4
699,1001212,1058133,4
700,1001213,1001261,1
701,1001214,1001262,2
702,1001214,1001262,2
703,1001215,1000164,2
704,1001215,1000164,2
705,1001216,1001263,2
706,1001216,1001263,2
707,1001217,1001266,1
708,1001219,1001210,2
709,1001219,1001210,2
710,1001219,1001241,2
711,1001219,1001241,2
712,1001220,1001204,1
713,1001220,1001216,2
714,1001220,1001216,2
715,1001220,1001218,2
716,1001220,1001218,2
717,1001220,1001220,1
718,1001222,1001229,2
719,1001222,1001229,2
720,1001225,1001103,1
721,1001225,1001225,10
722,1001225,1001225,10
723,1001225,1001225,10
724,1001225,1001225,10
725,1001225,1001225,10
726,1001225,1001225,10
727,1001225,1001225,10
728,1001225,1001225,10
729,1001225,1001225,10
730,1001225,1001225,10
731,1001226,1001023,4
732,1001226,1001023,4
733,1001226,1001023,4
734,1001226,1001023,4
735,1001226,1001226,3
736,1001226,1001226,3
737,1001226,1001226,3
738,1001226,1001228,1
739,1001226,1001255,2
740,1001226,1001255,2
741,1001227,1001225,1
742,1001229,1000703,5
743,1001229,1000703,5
744,1001229,1000703,5
745,1001229,1000703,5
746,1001229,1000703,5
747,1001229,1001229,2
748,1001229,1001229,2
749,1001229,1001252,4
750,1001229,1001252,4
751,1001229,1001252,4
752,1001229,1001252,4
753,1001231,1001119,10
754,1001231,1001119,10
755,1001231,1001119,10
756,1001231,1001119,10
757,1001231,1001119,10
758,1001231,1001119,10
759,1001231,1001119,10
760,1001231,1001119,10
761,1001231,1001119,10
762,1001231,1001119,10
763,1001231,1001231,1
764,1001236,1058079,2
765,1001236,1058079,2
766,1001241,1001231,3
767,1001241,1001231,3
768,1001241,1001231,3
769,1001241,1001241,7
770,1001241,1001241,7
771,1001241,1001241,7
772,1001241,1001241,7
773,1001241,1001241,7
774,1001241,1001241,7
775,1001241,1001241,7
776,1001243,1001253,6
777,1001243,1001253,6
778,1001243,1001253,6
779,1001243,1001253,6
780,1001243,1001253,6
781,1001243,1001253,6
782,1001250,1001228,1
783,1001253,1001214,3
784,1001253,1001214,3
785,1001253,1001214,3
786,1001253,1001243,3
787,1001253,1001243,3
788,1001253,1001243,3
789,1001253,1001252,3
790,1001253,1001252,3
791,1001253,1001252,3
792,1001253,1001253,1
793,1001254,1001214,1
794,1001254,1001229,2
795,1001254,1001229,2
796,1001254,1001261,4
797,1001254,1001261,4
798,1001254,1001261,4
799,1001254,1001261,4
800,1001254,1001529,1
801,1001255,1001262,2
802,1001255,1001262,2
803,1001259,1001217,1
804,1001259,1001265,2
805,1001259,1001265,2
806,1001259,1001526,1
807,1001259,1001618,2
808,1001259,1001618,2
809,1001262,1058097,3
810,1001262,1058097,3
811,1001262,1058097,3
812,1001263,1000145,1
813,1001263,1001263,2
814,1001263,1001263,2
815,1001266,1000177,1
816,1001266,1001211,1
817,1001266,1001212,1
818,1001266,1001243,4
819,1001266,1001243,4
820,1001266,1001243,4
821,1001266,1001243,4
822,1001267,1001121,2
823,1001267,1001121,2
824,1001271,1001259,2
825,1001271,1001259,2
826,1001301,1001301,1
827,1001303,1001323,5
828,1001303,1001323,5
829,1001303,1001323,5
830,1001303,1001323,5
831,1001303,1001323,5
832,1001303,1001355,1
833,1001304,1001339,1
834,1001314,1001325,4
835,1001314,1001325,4
836,1001314,1001325,4
837,1001314,1001325,4
838,1001315,1001317,2
839,1001315,1001317,2
840,1001316,1001316,4
841,1001316,1001316,4
842,1001316,1001316,4
843,1001316,1001316,4
844,1001317,1001315,2
845,1001317,1001315,2
846,1001318,1001370,1
847,1001325,1001325,6
848,1001325,1001325,6
849,1001325,1001325,6
850,1001325,1001325,6
851,1001325,1001325,6
852,1001325,1001325,6
853,1001325,1001352,2
854,1001325,1001352,2
855,1001325,1001379,3
856,1001325,1001379,3
857,1001325,1001379,3
858,1001327,1001634,2
859,1001327,1001634,2
860,1001328,1001372,2
861,1001328,1001372,2
862,1001329,1001305,1
863,1001329,1001349,2
864,1001329,1001349,2
865,1001329,1001351,1
866,1001329,1001381,2
867,1001329,1001381,2
868,1001330,1001351,1
869,1001331,1001333,4
870,1001331,1001333,4
871,1001331,1001333,4
872,1001331,1001333,4
873,1001332,1001354,6
874,1001332,1001354,6
875,1001332,1001354,6
876,1001332,1001354,6
877,1001332,1001354,6
878,1001332,1001354,6
879,1001334,1001334,1
880,1001335,1001334,1
881,1001336,1001313,2
882,1001336,1001313,2
883,1001338,1001338,1
884,1001339,1001334,1
885,1001339,1001355,4
886,1001339,1001355,4
887,1001339,1001355,4
888,1001339,1001355,4
889,1001346,1001310,1
890,1001348,1001379,1
