,counts,index_zmu,POP_TOT_ZMU,zmu,hr,nome_comun,quartiere,tripdistance_m,triptime_m,breaktime_m
18030,2.84,1269,704.0,1001313,11.0,Roma,Lido di Ostia Ponente,3200,7,2
18031,2.84,1269,704.0,1001313,18.0,Roma,Lido di Ostia Ponente,2700,7,282
18032,1.42,1269,704.0,1001313,12.0,Roma,Lido di Ostia Ponente,2700,7,3
18033,4.26,1269,704.0,1001313,17.0,Roma,Lido di Ostia Ponente,1500,3,103
18034,0.45,228,2221.0,1000922,21.0,Roma,Tuscolano,8500,29,24
18035,0.45,228,2221.0,1000922,23.0,Roma,Tuscolano,8700,22,899
18036,0.94,623,3191.0,1001133,4.0,Roma,Ostiense,13633,18,2352
18037,1.2,546,1664.0,1001017,4.0,Roma,Torre Maura,7100,13,954
18038,5.81,882,344.0,1000513,2.0,Roma,Tor Cervara,6150,10,711
18039,100.0,218,10.0,1000495,17.0,Roma,Monte Sacro,12700,25,68
18040,0.52,416,9655.0,1002003,21.0,Roma,Della Vittoria,9400,20,190
18041,0.91,332,2190.0,1001919,5.0,Roma,Della Vittoria,2850,5,222
18042,6.2,1217,645.0,1001829,10.0,Roma,Casalotti,3650,6,22
18043,0.07,487,14701.0,1001413,0.0,Fiumicino,,79200,54,27396
18044,0.59,941,5096.0,1000702,20.0,Roma,Prenestino-Centocelle,966,4,240
18045,0.2,804,4950.0,1000407,23.0,Roma,Monte Sacro Alto,2900,5,340
18046,1.95,212,512.0,1000312,15.0,Roma,Tiburtino,13600,28,7
18047,13.89,1214,72.0,1001224,15.0,Roma,Giuliano-Dalmata,4600,18,20
18048,1.33,654,1509.0,1000264,10.0,Roma,Salario,900,5,493
18049,1.66,280,1811.0,1000247,11.0,Roma,Trieste,15733,29,4815
18050,0.18,830,5414.0,1000465,20.0,Roma,Monte Sacro Alto,1800,4,42
18051,0.32,275,3108.0,1000558,18.0,Roma,Ponte Mammolo,10300,20,577
18052,0.3,821,3322.0,1000429,19.0,Roma,Tor San Giovanni,7000,14,20
18053,0.9,821,3322.0,1000429,18.0,Roma,Tor San Giovanni,2766,7,26
18054,1.21,190,828.0,1001927,20.0,Roma,Della Vittoria,3000,9,9
18055,50.0,34,80.0,1002009,15.0,Roma,Tomba di Nerone,7225,18,177
18056,1.95,448,1025.0,1001374,9.0,Roma,Acilia Sud,1250,4,18
18057,0.52,322,1924.0,1001393,4.0,Roma,Castel Fusano,4800,11,556
18058,1.09,1036,2742.0,1000869,3.0,Roma,Borghesiana,8066,13,435
18059,2.33,1008,429.0,1000833,16.0,Roma,Acqua Vergine,300,2,6
18060,1.99,174,502.0,1000184,17.0,Roma,Campo Marzio,3900,18,147
18061,0.42,634,4813.0,1000925,19.0,Roma,Tuscolano,7450,17,305
18062,0.79,447,2539.0,1002029,8.0,Roma,Tomba di Nerone,3800,8,267
18063,0.17,509,5757.0,1001623,20.0,Roma,Gianicolense,6600,14,123
18064,0.61,918,3301.0,1000548,5.0,Roma,Ponte Mammolo,5900,21,4
18065,1.99,285,2012.0,1000846,13.0,Roma,Torre Maura,17775,26,1106
18066,0.39,862,2541.0,1000489,4.0,Roma,Val Melaina,24400,33,5
18067,2.29,501,874.0,1000507,4.0,Roma,Pietralata,7150,15,549
18068,0.48,25,2091.0,1001631,3.0,Roma,Castel di Guido,9400,14,56
18069,2.27,1146,3531.0,1001051,5.0,Roma,Casal Morena,8837,16,228
18070,0.08,604,12749.0,1058125,3.0,Ciampino,,19800,31,5
18071,0.05,62,21594.0,1058057,3.0,MARINO,,22300,39,31
18072,0.24,505,12378.0,1058127,4.0,Ciampino,,8800,14,13
18073,0.24,604,12749.0,1058125,4.0,Ciampino,,9266,19,245
18074,0.28,1146,3531.0,1001051,4.0,Roma,Casal Morena,3500,9,14
18075,14.93,840,201.0,1000446,13.0,Roma,Casal Boccone,22600,24,10028
18076,0.2,613,4948.0,1000602,21.0,Roma,Prenestino-Labicano,6600,23,157
18077,2.87,525,348.0,1000438,4.0,Roma,Monte Sacro Alto,1300,4,2521
18078,0.24,667,4226.0,1058020,23.0,Carpineto romano,,100,0,73
18079,4.05,1046,247.0,1000949,14.0,Roma,Tuscolano,600,2,1807
18080,0.67,1043,1492.0,1000463,17.0,Roma,Monte Sacro Alto,5000,17,15
18081,0.8,104,2500.0,1000470,16.0,Roma,Monte Sacro,29000,31,388
18082,0.4,104,2500.0,1000470,13.0,Roma,Monte Sacro,18100,42,398
18083,1.31,535,763.0,1000492,13.0,Roma,Monte Sacro,45100,35,403
18084,5.65,1042,354.0,1000941,5.0,Roma,Tuscolano,4850,11,490
18085,0.54,800,3690.0,1000405,11.0,Roma,Val Melaina,3600,13,159
18086,0.51,936,1945.0,1000730,14.0,Roma,Tor Sapienza,45900,35,7804
18087,0.89,903,2242.0,1000534,2.0,Roma,Collatino,15050,23,776
18088,1.63,273,1839.0,1000701,21.0,Roma,Collatino,3900,11,409
18089,0.51,936,1945.0,1000730,21.0,Roma,Tor Sapienza,2500,4,2
18090,1.45,727,2066.0,1000167,5.0,Roma,Ostiense,14300,58,455
18091,2.44,347,818.0,1001843,4.0,Roma,Aurelio,21000,28,491
18092,5.92,43,676.0,1001611,17.0,Roma,La Pisana,23725,21,376
18093,0.45,751,2198.0,1000226,18.0,Roma,Flaminio,1300,6,55
18094,3.6,522,556.0,1000907,8.0,Roma,Tuscolano,1600,6,1066
