,counts,index_zmu,POP_TOT_ZMU,zmu,hr,nome_comun,quartiere,tripdistance_m,triptime_m,breaktime_m
11865,2.25,854,1331.0,1000483,11.0,Roma,Casal Boccone,3533,8,108
11866,1.59,510,1258.0,1058030,17.0,Ciciliano,,7900,10,696
11867,1.13,42,10644.0,1058018,19.0,Capena,,16391,13,1047
11868,0.79,510,1258.0,1058030,19.0,Ciciliano,,3400,4,71
11869,3.2,810,5938.0,1000412,17.0,Roma,Castel Giubileo,3215,10,85
11870,1.27,929,5515.0,1000616,15.0,Roma,Prenestino-Labicano,4471,16,202
11871,2.12,1175,3300.0,1000629,7.0,Roma,Prenestino-Labicano,7200,22,1741
11872,2.54,806,3154.0,1000433,16.0,Roma,Val Melaina,9862,21,568
11873,0.36,929,5515.0,1000616,19.0,Roma,Prenestino-Labicano,12950,25,634
11874,3.49,806,3154.0,1000433,17.0,Roma,Val Melaina,5590,17,115
11875,0.91,929,5515.0,1000616,7.0,Roma,Prenestino-Labicano,5640,17,272
11876,4.15,165,723.0,1001959,9.0,Roma,Casalotti,4833,6,53
11877,0.56,745,1779.0,1000336,3.0,Roma,Nomentano,3300,7,1040
11878,1.46,1062,8241.0,1001115,4.0,Roma,Ardeatino,6891,11,669
11879,6.1,688,1967.0,1002066,14.0,Roma,Tor di Quinto,3558,10,354
11880,1.2,933,5833.0,1000621,18.0,Roma,Tuscolano,7900,23,116
11881,1.37,933,5833.0,1000621,17.0,Roma,Tuscolano,7437,20,493
11882,171.43,257,35.0,1000311,17.0,Roma,Nomentano,6983,21,188
11883,6.78,975,1475.0,1000916,12.0,Roma,Appio-Latino,10370,18,656
11884,5.58,1212,3408.0,1001223,14.0,Roma,Giuliano-Dalmata,6068,14,142
11885,6.78,975,1475.0,1000916,15.0,Roma,Appio-Latino,3380,15,146
11886,0.4,422,7415.0,1001954,4.0,Roma,Casalotti,15800,21,376
11887,4.41,955,3399.0,1000714,11.0,Roma,Alessandrino,8140,13,206
11888,5.53,165,723.0,1001959,7.0,Roma,Casalotti,22850,25,354
11889,0.15,331,13428.0,1001827,3.0,Roma,Casalotti,20250,14,1227
11890,6.92,165,723.0,1001959,10.0,Roma,Casalotti,4420,7,150
11891,6.1,975,1475.0,1000916,18.0,Roma,Appio-Latino,4633,12,101
11892,inf,723,0.0,1000150,13.0,Roma,San Saba,5425,13,413
11893,inf,723,0.0,1000150,14.0,Roma,San Saba,2700,8,776
11894,2.71,975,1475.0,1000916,11.0,Roma,Appio-Latino,1800,7,995
11895,10.64,732,282.0,1000177,12.0,Roma,Celio,1366,5,809
11896,10.64,732,282.0,1000177,10.0,Roma,Celio,1633,5,173
11897,10.64,732,282.0,1000177,9.0,Roma,Celio,1466,5,927
11898,2.77,165,723.0,1001959,8.0,Roma,Casalotti,3700,5,33
11899,7.76,437,2448.0,1002014,6.0,Roma,La Storta,2936,7,610
11900,1.63,652,1840.0,1001047,21.0,Roma,Appio-Pignatelli,800,2,122
11901,6.13,672,1630.0,1001532,15.0,Roma,Portuense,6390,14,193
11902,13.82,899,1085.0,1000530,9.0,Roma,Settecamini,8546,12,204
11903,8.61,913,1161.0,1000568,5.0,Roma,Settecamini,15460,23,930
11904,200.0,915,20.0,1000562,16.0,Roma,Settecamini,10825,23,30
11905,3.45,913,1161.0,1000568,16.0,Roma,Settecamini,2525,5,470
11906,0.33,4,3019.0,1001141,22.0,Roma,Ostiense,7100,18,7367
11907,1.53,688,1967.0,1002066,20.0,Roma,Tor di Quinto,8733,14,57
