zmu;Available_Power;n_charging_stations;index_zmu;POP_TOT_ZMU;comune;nome_comun;quartiere;pgtu;municipio
1000731;;;173.0;1025;58091;Roma;Alessandrino;4;5.0
1000184;;;174.0;502;58091;Roma;Campo Marzio;1;1.0
1001858;[3];2.0;175.0;2246;58091;Roma;Aurelio;3;13.0
1001728;;;176.0;0;58091;Roma;Della Vittoria;2;1.0
1000813;;;177.0;6298;58091;Roma;Lunghezza;5;6.0
1001923;;;178.0;966;58091;Roma;La Storta;5;14.0
1000641;;;179.0;2630;58091;Roma;Prenestino-Labicano;3;5.0
1001320;;;180.0;13;58091;Roma;Lido di Castel Fusano;6;10.0
1058079;[22, 3.7, 'not available', 43, 11];54.0;181.0;61346;58079;Pomezia;;7;
1000858;;;182.0;9191;58091;Roma;Lunghezza;5;6.0
1001741;;;183.0;1;58091;Roma;Della Vittoria;2;1.0
1000101;;;184.0;803;58091;Roma;Ponte;1;1.0
1000417;;;185.0;1867;58091;Roma;Casal Boccone;4;3.0
1001407;[22, 3.7];4.0;186.0;8340;58120;Fiumicino;;7;
1002017;;;187.0;911;58091;Roma;La Giustiniana;5;15.0
1001361;;;188.0;2922;58091;Roma;Acilia Nord;6;10.0
1001408;;;189.0;1493;58120;Fiumicino;;7;
1001927;;;190.0;828;58091;Roma;Della Vittoria;4;14.0
1001268;;;191.0;1493;58091;Roma;Castel di Leva;5;9.0
1000141;[3];2.0;192.0;225;58091;Roma;Colonna;1;1.0
1001823;;;193.0;2324;58091;Roma;Trionfale;4;13.0
1001309;;;194.0;72;58091;Roma;Ostia Antica;6;10.0
1001957;;;195.0;813;58091;Roma;Della Vittoria;4;14.0
1001004;[3];2.0;196.0;0;58091;Roma;Don Bosco;3;7.0
1001618;;;197.0;11876;58091;Roma;Castel di Guido;5;12.0
1001633;;;198.0;70;58091;Roma;Castel di Guido;5;12.0
1001950;;;199.0;6865;58091;Roma;Primavalle;4;14.0
1001742;;;200.0;1004;58091;Roma;Della Vittoria;2;1.0
1001364;;;201.0;2175;58091;Roma;Acilia Sud;6;10.0
1000166;;;202.0;4;58091;Roma;San Saba;1;1.0
1001529;[22];1.0;203.0;7039;58091;Roma;Portuense;3;11.0
1000181;;;204.0;443;58091;Roma;Trevi;1;1.0
1001628;;;205.0;2576;58091;Roma;Gianicolense;4;12.0
1001126;;;206.0;491;58091;Roma;Torricola;3;8.0
1001505;[22];1.0;207.0;4884;58091;Roma;Portuense;3;11.0
1000816;;;208.0;7014;58091;Roma;Torre Angela;5;6.0
1001840;;;209.0;192;58091;Roma;Casalotti;5;13.0
1000204;;;210.0;1289;58091;Roma;Pinciano;2;2.0
1000915;;;211.0;771;58091;Roma;Appio-Latino;2;7.0
1000312;;;212.0;512;58091;Roma;Tiburtino;2;2.0
1001507;;;213.0;5816;58091;Roma;Portuense;3;11.0
1001615;[3];2.0;214.0;3513;58091;Roma;Gianicolense;2;12.0
1000933;;;215.0;1808;58091;Roma;Appio-Latino;2;7.0
1000321;;;216.0;751;58091;Roma;Tiburtino;2;2.0
1000485;[22, 3.7];2.0;217.0;4519;58091;Roma;Monte Sacro;3;3.0
1000495;;;218.0;10;58091;Roma;Monte Sacro;3;3.0
1000559;;;219.0;580;58091;Roma;Ponte Mammolo;3;4.0
1000607;;;220.0;622;58091;Roma;Tuscolano;3;5.0
1000603;[43, 50];3.0;221.0;6398;58091;Roma;Prenestino-Labicano;3;5.0
1000845;;;222.0;3072;58091;Roma;Torre Spaccata;4;6.0
1000215;[3.7, 22];2.0;223.0;1223;58091;Roma;Trieste;2;2.0
1001018;;;224.0;4151;58091;Roma;Don Bosco;4;7.0
1001604;;;225.0;3864;58091;Roma;Gianicolense;3;12.0
1000715;[22];1.0;226.0;411;58091;Roma;Torre Spaccata;4;5.0
1001733;;;227.0;0;58091;Roma;Della Vittoria;2;1.0
1000922;[22];1.0;228.0;2221;58091;Roma;Tuscolano;2;7.0
1001052;;;229.0;593;58091;Roma;Appio-Pignatelli;3;7.0
1001210;;;230.0;2211;58091;Roma;Giuliano-Dalmata;4;9.0
