,counts,index_zmu,POP_TOT_ZMU,zmu,hr,day,nome_comun,quartiere,tripdistance_m,triptime_m,breaktime_m
13780,2.68,501,746.0,1000507,14.0,2022-10-20,Roma,Pietralata,7050.0,14.0,193.0
13781,2.81,259,356.0,1000432,17.0,2022-10-20,Roma,Marcigliana,6300.0,10.0,52.0
13782,1.82,464,550.0,1002048,18.0,2022-10-20,Roma,Della Vittoria,15600.0,35.0,51.0
13783,0.75,342,1327.0,1001849,22.0,2022-10-20,Roma,Aurelio,16900.0,35.0,225.0
13784,6.92,231,289.0,1002021,10.0,2022-10-20,Roma,Prima Porta,4000.0,7.0,1453.0
13785,0.79,1144,1272.0,1001050,18.0,2022-10-20,Roma,Torre Gaia,1500.0,3.0,14.0
13786,0.27,1137,3711.0,1001044,19.0,2022-10-20,Roma,Torre Gaia,2600.0,5.0,77.0
13787,0.79,1144,1272.0,1001050,21.0,2022-10-20,Roma,Torre Gaia,2300.0,5.0,105.0
13788,0.76,621,1314.0,1000249,17.0,2022-10-20,Roma,Trieste,1400.0,11.0,9823.0
13789,0.34,29,2903.0,1001917,1.0,2022-10-20,Roma,Trionfale,9600.0,19.0,485.0
13790,52.63,414,19.0,1002001,17.0,2022-10-20,Roma,Tor di Quinto,9300.0,29.0,942.0
13791,43.48,1213,23.0,1001239,12.0,2022-10-20,Roma,Ostiense,2200.0,6.0,97.0
13792,0.32,1145,3155.0,1001106,13.0,2022-10-20,Roma,Ostiense,3100.0,7.0,57.0
13793,0.3,338,3291.0,1001836,3.0,2022-10-20,Roma,Primavalle,34500.0,38.0,7768.0
13794,0.63,489,1576.0,1002075,6.0,2022-10-20,Roma,La Giustiniana,900.0,2.0,9.0
13795,4.18,1191,239.0,1001815,15.0,2022-10-20,Roma,Casalotti,15100.0,15.0,136.0
13796,0.27,518,3663.0,1058035,8.0,2022-10-20,Colonna,,13200.0,20.0,15.0
13797,0.28,636,3545.0,1000927,4.0,2022-10-20,Roma,Appio-Latino,700.0,2.0,516.0
13798,1.64,421,608.0,1000908,5.0,2022-10-20,Roma,Appio-Latino,600.0,2.0,1.0
13799,1.17,173,853.0,1000731,5.0,2022-10-20,Roma,Alessandrino,8800.0,22.0,8.0
13800,3.04,1086,329.0,1001033,9.0,2022-10-20,Roma,Torre Maura,12300.0,28.0,243.0
13801,0.85,1200,1180.0,1000276,17.0,2022-10-20,Roma,Trieste,600.0,4.0,3.0
13802,1.15,255,869.0,1000236,17.0,2022-10-20,Roma,Trieste,12000.0,24.0,128.0
13803,11.76,1179,170.0,1001144,7.0,2022-10-20,Roma,Ardeatino,21650.0,29.0,472.0
13804,0.67,1114,1487.0,1001388,11.0,2022-10-20,Roma,Castel Fusano,54700.0,57.0,4.0
13805,0.28,479,3569.0,1001394,12.0,2022-10-20,Roma,Castel Fusano,1700.0,5.0,29.0
13806,2.7,1187,371.0,1001207,12.0,2022-10-20,Roma,Europa,2100.0,3.0,380.0
13807,0.9,292,1111.0,1001213,12.0,2022-10-20,Roma,Torrino,2000.0,3.0,10.0
13808,0.9,292,1111.0,1001213,5.0,2022-10-20,Roma,Torrino,8300.0,23.0,19.0
13809,0.29,397,3395.0,1001527,3.0,2022-10-20,Roma,Portuense,2800.0,6.0,528.0
13810,0.57,1257,3529.0,1001513,5.0,2022-10-20,Roma,Portuense,1950.0,6.0,289.0
13811,0.98,339,2042.0,1001856,18.0,2022-10-20,Roma,Primavalle,3950.0,9.0,52.0
13812,0.32,318,3105.0,1001813,18.0,2022-10-20,Roma,Casalotti,4900.0,10.0,4.0
13813,0.93,435,1077.0,1001530,18.0,2022-10-20,Roma,Portuense,17600.0,17.0,6.0
13814,0.29,268,3439.0,1001803,5.0,2022-10-20,Roma,Aurelio,7000.0,11.0,924.0
13815,0.17,446,5782.0,1002031,5.0,2022-10-20,Roma,Della Vittoria,6600.0,16.0,12.0
13816,0.06,32,16882.0,1058114,3.0,2022-10-20,Zagarolo,,1200.0,2.0,568.0
13817,0.33,328,6040.0,1001525,15.0,2022-10-20,Roma,Portuense,4100.0,17.0,314.0
13818,0.34,806,2906.0,1000433,9.0,2022-10-20,Roma,Val Melaina,500.0,3.0,2420.0
13819,0.25,829,4050.0,1000459,9.0,2022-10-20,Roma,Val Melaina,700.0,4.0,26.0
13820,0.7,976,1422.0,1001709,4.0,2022-10-20,Roma,Della Vittoria,36500.0,43.0,772.0
13821,5.75,246,174.0,1001730,10.0,2022-10-20,Roma,Della Vittoria,1600.0,9.0,13.0
13822,1.22,244,823.0,1001722,11.0,2022-10-20,Roma,Della Vittoria,1300.0,7.0,56.0
13823,0.52,272,1926.0,1000620,19.0,2022-10-20,Roma,Tuscolano,500.0,3.0,82.0
13824,0.22,929,4556.0,1000616,19.0,2022-10-20,Roma,Prenestino-Labicano,700.0,3.0,5.0
13825,0.18,908,5562.0,1000539,19.0,2022-10-20,Roma,Collatino,6700.0,11.0,3.0
13826,0.22,929,4556.0,1000616,22.0,2022-10-20,Roma,Prenestino-Labicano,7700.0,15.0,179.0
13827,0.27,1092,3654.0,1001036,11.0,2022-10-20,Roma,Torrenova,1400.0,4.0,402.0
13828,2.31,164,432.0,1001739,21.0,2022-10-20,Roma,Della Vittoria,1800.0,5.0,199.0
13829,2.57,360,389.0,1001902,22.0,2022-10-20,Roma,Trionfale,1500.0,6.0,24.0
13830,0.75,803,2656.0,1000406,16.0,2022-10-20,Roma,Casal Boccone,5900.0,24.0,14.0
13831,1.37,532,728.0,1000473,17.0,2022-10-20,Roma,Monte Sacro,3300.0,7.0,16.0
13832,0.5,1230,2001.0,1001707,13.0,2022-10-20,Roma,Della Vittoria,1800.0,8.0,1026.0
13833,1.22,244,823.0,1001722,16.0,2022-10-20,Roma,Della Vittoria,1800.0,9.0,179.0
13834,0.34,806,2906.0,1000433,16.0,2022-10-20,Roma,Val Melaina,1100.0,2.0,40.0
13835,0.44,856,2294.0,1000482,11.0,2022-10-20,Roma,Monte Sacro Alto,800.0,3.0,251.0
13836,0.41,788,2440.0,1000318,5.0,2022-10-20,Roma,Nomentano,4500.0,21.0,1087.0
13837,0.27,1258,3644.0,1001305,15.0,2022-10-20,Roma,Acilia Sud,24700.0,61.0,2751.0
13838,1.17,312,855.0,1000273,17.0,2022-10-20,Roma,Parioli,1000.0,5.0,51.0
13839,0.59,751,1700.0,1000226,18.0,2022-10-20,Roma,Flaminio,1300.0,5.0,56.0
13840,2.1,391,476.0,1002004,18.0,2022-10-20,Roma,Della Vittoria,4400.0,9.0,44.0
13841,0.18,822,5414.0,1000441,3.0,2022-10-20,Roma,Castel Giubileo,17800.0,19.0,1032.0
13842,0.45,541,2246.0,1001713,9.0,2022-10-20,Roma,Trionfale,10600.0,16.0,10.0
13843,0.19,1081,5226.0,1001028,4.0,2022-10-20,Roma,Appio Claudio,40300.0,80.0,426.0
13844,4.67,921,214.0,1000551,16.0,2022-10-20,Roma,Settecamini,18500.0,33.0,602.0
