,zmu,index_zmu,idtrajectory,zmu_destination
1949,1001535,1132.0,69336628,1001520
1950,1001520,986.0,37537531,1001519
1951,1001519,612.0,33005088,1001520
1952,1001519,612.0,16139935,1001535
1953,1000225,253.0,31781238,1001954
1954,1001518,825.0,5532649,1001510
1955,1001303,1254.0,36533169,1001380
1956,1000708,950.0,16113867,1000539
1957,1058116,602.0,63002185,1001618
1958,1001503,1101.0,80872651,1001626
1959,1001626,1060.0,16569571,1001503
1960,1000813,177.0,16463229,1058114
1961,1001528,457.0,63612794,1001111
1962,1058074,69.0,69364720,1000808
1963,1001226,1218.0,69359890,1001628
1964,1000713,953.0,69430420,1000811
1965,1002015,94.0,31786340,1058038
1966,1002037,1141.0,69322748,1002057
1967,1002057,467.0,31638246,1002037
1968,1058086,569.0,80929361,1058130
1969,1000942,122.0,37518046,1001241
1970,1001934,396.0,63493536,1000480
1971,1000119,707.0,33048217,1001114
1972,1000409,789.0,31734014,1002002
1973,1000955,433.0,15402702,1000513
1974,1058103,72.0,63601562,1058073
1975,1001715,1075.0,31745158,1000303
1976,1001404,1124.0,69307649,1001401
1977,1000531,900.0,69367615,1058128
1978,1058034,515.0,63005674,1001112
1979,1001837,343.0,31827570,1001915
1980,1001525,328.0,31826997,1001506
1981,1001204,1182.0,80934210,1001209
1982,1000512,881.0,37571327,1000420
1983,1001506,309.0,16594054,1001629
1984,1001036,1092.0,31749089,1000804
1985,1000547,916.0,80852615,1000560
1986,1000503,872.0,16651944,1001824
1987,1000337,794.0,37217564,1000705
1988,1001138,1176.0,31746033,1000145
1989,1000550,861.0,62995390,1000429
1990,1001391,1116.0,37617143,1058079
1991,1001854,353.0,31638636,1001827
1992,1001139,1178.0,37581150,1001241
1993,1001323,1276.0,37594586,1001327
1994,1001203,1167.0,69236024,1001245
1995,1001389,1115.0,37987316,1001349
1996,1058098,579.0,37661207,1058104
1997,1058049,533.0,5518551,1058110
1998,1000705,601.0,63629658,1000703
1999,1001615,214.0,63623884,1001109
2000,1000489,862.0,31809729,1000474
2001,1001405,1117.0,63059881,1001407
2002,1001108,1152.0,63489377,1001143
2003,1000435,820.0,63995636,1000489
2004,1000278,471.0,63586358,1000205
2005,1000705,601.0,69443354,1001104
2006,1000318,788.0,37259032,1001259
2007,1000905,1031.0,63478632,1001042
2008,1000858,182.0,37587956,1058104
2009,1002032,449.0,32972731,1002066
2010,1002066,688.0,5565401,1001518
2011,1058114,32.0,16489159,1058074
2012,1058074,69.0,20552235,1058088
2013,1058117,77.0,16039524,1058079
2014,1001266,1244.0,37943634,1001518
2015,1001407,186.0,16604998,1001829
2016,1058011,51.0,15403518,1058110
2017,1058079,181.0,80903767,1058057
2018,1058057,62.0,16064751,1058131
2019,1000646,940.0,32990542,1000517
2020,1002040,8.0,37514515,1002060
2021,1000905,1031.0,63600053,1001224
2022,1001935,399.0,37271062,1001108
2023,1001123,1157.0,80991168,1000258
2024,1058096,96.0,69437723,1058047
2025,1001611,43.0,5212362,1001708
2026,1058114,32.0,62971811,1000855
2027,1002037,1141.0,31679942,1000820
