,zmu,index_zmu,idtrajectory,zmu_destination
1795,1058110,74,58356603,1058011
1796,1058110,74,58849278,1058074
1797,1058011,51,58784412,1058110
1798,1058039,526,58372441,1058011
1799,1001905,630,59200248,1001710
1800,1001710,1103,59219907,1001603
1801,1001946,123,59186711,1001905
1802,1001394,479,58794794,1001329
1803,1001317,1272,59177702,1001336
1804,1000623,887,59265149,1000510
1805,1000510,877,58402170,1000611
1806,1000844,1009,58794141,1000623
1807,1001028,1081,58787817,1000844
1808,1000611,662,58415625,1001028
1809,1058007,495,58832139,1058072
1810,1000206,746,58806422,1000336
1811,1001410,321,58758797,1001411
1812,1001418,18,58380204,1001410
1813,1058018,42,58363890,1058034
1814,1000803,973,58354625,1000851
1815,1000851,1023,58815586,1058050
1816,1000467,850,59222573,1000405
1817,1058119,10,59241104,1058060
1818,1001519,612,58362354,1001542
1819,1001519,612,59251161,1001623
1820,1001542,878,58846853,1001519
1821,1001542,878,58788593,1001519
1822,1001519,612,58821074,1001542
1823,1001237,1227,58787024,1058050
1824,1001139,1178,58336907,1001222
1825,1001704,1280,59236092,1000109
1826,1000217,677,58382574,1000211
1827,1000253,367,58336379,1000217
1828,1000211,747,58328046,1000253
1829,1058060,63,58763745,1000869
1830,1001036,1092,59197129,1001034
1831,1001391,1116,58841862,1001371
1832,1001371,1296,58792339,1001391
1833,1000305,782,58390453,1000317
1834,1000317,792,58390483,1000249
1835,1058007,495,58401795,1058072
1836,1001007,1047,58821036,1000806
1837,1001036,1092,58848983,1001033
1838,1058131,609,58401751,1058130
1839,1058046,529,58841838,1001021
1840,1058130,79,58413473,1058131
1841,1058131,609,58808494,1058046
1842,1001711,236,58813765,1002031
1843,1000850,1021,58827799,1000851
1844,1058128,588,58834148,1001036
1845,1000869,1036,58814066,1058128
1846,1001626,1060,59233057,1001623
1847,1001111,1151,59209545,1001626
1848,1001837,343,58839278,1001111
1849,1002040,8,58841800,1000203
1850,1002036,453,58808345,1002040
1851,1002066,688,58768600,1002036
1852,1001139,1178,59283744,1001219
1853,1000569,649,59217262,1058047
1854,1058047,22,58823111,1000569
1855,1000125,357,58766655,1058117
1856,1000271,1095,58410325,1000125
1857,1000705,601,59243791,1000720
1858,1000484,659,58844114,1058117
1859,1058015,53,59241336,1058082
1860,1000947,1044,58341783,1000936
1861,1000936,1029,58361468,1000918
1862,1000936,1029,58373819,1000918
1863,1000819,999,58819474,1000326
1864,1000856,981,58361134,1000819
1865,1000802,970,58320742,1000856
1866,1001141,4,58802715,1001109
1867,1001143,1177,58834660,1001118
1868,1001118,1158,59267975,1000158
1869,1058127,505,58849064,1058133
1870,1058133,614,58762138,1058127
1871,1058133,614,59192131,1001126
1872,1058029,56,58341471,1058054
1873,1000928,1040,58376536,1000211
1874,1058119,10,58397785,1058035
1875,1001334,1292,59207138,1001314
1876,1058025,511,58810841,1058074
1877,1058074,69,58757003,1058025
1878,1000528,895,58843114,1058122
1879,1000851,1023,58346679,1000850
1880,1001020,1069,58846944,1001003
1881,1001003,1052,58344554,1001020
1882,1001222,1211,59219975,1001241
1883,1001209,1185,58838192,1001222
1884,1001209,1185,58332342,1000146
1885,1000939,283,58764380,1001209
1886,1000146,714,58375742,1000939
1887,1001241,1231,59242248,1001209
1888,1001016,1072,58350669,1000263
1889,1058007,495,58777251,1058117
1890,1001139,1178,58756533,1001118
1891,1001053,284,59238306,1001026
1892,1001036,1092,58846826,1001053
1893,1001359,1305,58773785,1001133
1894,1001501,1099,58376342,1001359
1895,1000471,1205,58409740,1000484
1896,1001020,1069,59201173,1000602
1897,1001139,1178,58846892,1001501
1898,1000214,718,58360248,1000117
1899,1002044,459,59210998,1002022
1900,1001608,1135,58821302,1002044
1901,1001625,1048,58780171,1001608
1902,1058115,600,58415811,1058111
1903,1058097,73,58774567,1058032
1904,1001001,629,58765880,1001018
1905,1001018,224,58347577,1001005
1906,1001005,1055,58374896,1001001
1907,1001338,1183,58795460,1001417
1908,1058119,10,59206446,1058074
1909,1000477,1314,58792952,1000528
1910,1000524,839,58760056,1000477
1911,1000402,681,58412927,1000451
1912,1000490,863,58376039,1000402
1913,1058074,69,58769112,1058119
1914,1000419,808,58796652,1000462
1915,1000462,845,58353301,1000419
1916,1000404,799,58345623,1000439
1917,1001334,1292,58388851,1001316
1918,1001358,1311,58775298,1001377
1919,1001377,1100,59198064,1001803
1920,1001319,11,58750285,1001358
1921,1001316,1271,58414799,1001319
1922,1058007,495,58313117,1058072
1923,1002057,467,59180928,1002068
1924,1002005,428,58795125,1002037
1925,1002050,402,58335782,1002054
1926,1002054,298,58370438,1002005
1927,1000121,708,58845363,1000147
1928,1001935,399,59189448,1001938
1929,1000486,1121,58355464,1000472
1930,1001122,1123,58374774,1001119
1931,1001528,457,58335845,1001122
1932,1058104,76,58342430,1058034
1933,1058032,57,58359215,1058097
1934,1001253,1238,58372477,1001211
1935,1001202,1058,59192854,1001253
1936,1001211,1188,58759858,1001202
1937,1058034,515,58812593,1058080
1938,1058034,515,58843968,1001021
1939,1000517,890,58842195,1000525
1940,1058011,51,58761025,1000517
1941,1000469,851,58813081,1000211
1942,1000483,854,58776334,1000469
1943,1001939,1221,58757461,1001934
1944,1001919,332,58378158,1001939
1945,1001934,396,58337633,1001919
1946,1001204,1182,59265954,1001211
1947,1000111,690,59221370,1000208
1948,1000113,701,58338528,1000112
1949,1000112,671,59217693,1000183
1950,1058047,22,59243762,1058122
1951,1058104,76,59264420,1058047
1952,1001254,1239,59227478,1001205
1953,1002073,469,58309475,1002028
1954,1002028,444,58342128,1002050
1955,1002050,402,59209851,1002028
1956,1002028,444,59267224,1002070
1957,1058134,616,58336938,1001034
1958,1000707,948,58796596,1000805
