index_zmu;POP_TOT_ZMU;zmu;comune;nome_comun;quartiere;pgtu;municipio;OperatorInfo;NumberOfPoints;ID;city;Connection_TypeID;Connection_ID;Power;charging_stations
58.0;6248;1058040;58040;Gallicano nel laz;;7;;Free To X ADS Prenestina Ovest;3;211426;Gallicano Nel Lazio;25;351793;22;1
58.0;6248;1058040;58040;Gallicano nel laz;;7;;Free To X ADS Prenestina Ovest;3;211426;Gallicano Nel Lazio;33;351791;64;1
58.0;6248;1058040;58040;Gallicano nel laz;;7;;Free To X ADS Prenestina Ovest;3;211426;Gallicano Nel Lazio;2;351792;64;1
58.0;6248;1058040;58040;Gallicano nel laz;;7;;F2X Prenestina Est;6;194152;not avaialble;33;315493;300;1
58.0;6248;1058040;58040;Gallicano nel laz;;7;;F2X Prenestina Est;6;194152;not avaialble;33;471534;64;1
58.0;6248;1058040;58040;Gallicano nel laz;;7;;F2X Prenestina Est;6;194152;not avaialble;25;471536;43;1
58.0;6248;1058040;58040;Gallicano nel laz;;7;;F2X Prenestina Est;6;194152;not avaialble;2;471535;64;1
59.0;23123;1058043;58043;Genzano di roma;;7;;Conad Genzano  | EnelX;2;109794;Genzano di Roma ;36;154623;3.7;1
59.0;23123;1058043;58043;Genzano di roma;;7;;Conad Genzano  | EnelX;2;109794;Genzano di Roma ;25;154622;22;1
62.0;21594;1058057;58057;MARINO;;7;;Enel X McDonald's Frattocchie;2;190336;Marino;1036;307715;43;1
62.0;21594;1058057;58057;MARINO;;7;;Enel X McDonald's Frattocchie;2;190336;Marino;33;307713;50;1
62.0;21594;1058057;58057;MARINO;;7;;Enel X McDonald's Frattocchie;2;190336;Marino;2;307714;50;1
70.0;3734;1058112;58112;Vicovaro;;7;;Via G. Mazzini;1;209011;Vicovaro;25;347158;22;1
72.0;8699;1058103;58103;Subiaco;;7;;Via dei Monasteri 22 Subiaco;4;192373;Subiaco;25;311897;22;1
72.0;8699;1058103;58103;Subiaco;;7;;Subiaco;1;103513;Subiaco ;25;145763;5;1
73.0;18174;1058097;58097;Santa marinella;;7;;Via Giunone Lucina - Santa Severa | Enel X;1;190088;Santa Severa;36;306973;2;1
73.0;18174;1058097;58097;Santa marinella;;7;;Via Giunone Lucina - Santa Severa | Enel X;1;190088;Santa Severa;25;306972;20;1
73.0;18174;1058097;58097;Santa marinella;;7;;Piazza Carlo Garbieri - ‌Santa Severa | Enel X;1;190089;Santa Severa;25;306974;20;1
73.0;18174;1058097;58097;Santa marinella;;7;;Piazza Carlo Garbieri - ‌Santa Severa | Enel X;1;190089;Santa Severa;36;306975;2;1
74.0;15206;1058110;58110;Valmontone;;7;;Ionity Valmontone Outlet;12;274977;Valmontone;33;476338;350;1
74.0;15206;1058110;58110;Valmontone;;7;;EnelX EVA+ Valmontone Outlet;2;104418;Valmontone ;33;146913;50;1
74.0;15206;1058110;58110;Valmontone;;7;;EnelX EVA+ Valmontone Outlet;2;104418;Valmontone ;2;146914;50;1
74.0;15206;1058110;58110;Valmontone;;7;;EnelX EVA+ Valmontone Outlet;2;104418;Valmontone ;1036;146915;43;1
74.0;15206;1058110;58110;Valmontone;;7;;HPC enelx Valmontone Outlet;4;175716;Valmontone;33;272019;350;1
76.0;54366;1058104;58104;Tivoli;;7;;Tivoli Viale Roma | EnelX ;2;156140;Tivoli;25;219349;22;1
76.0;54366;1058104;58104;Tivoli;;7;;Esteticar;1;125730;Tivoli Terme;25;175702;7.4;1
76.0;54366;1058104;58104;Tivoli;;7;;Tivoli Terme Tiburtina | EnelX;2;162748;Tivoli Terme;25;233731;22;1
76.0;54366;1058104;58104;Tivoli;;7;;Grand Hotel Duca d'Este;1;169694;Tivoli;25;257868;not available;1
76.0;54366;1058104;58104;Tivoli;;7;;Villa Adriana Parcheggio Via Val Gardena | EnelX;2;156138;Villa Adriana;25;219347;22;1
76.0;54366;1058104;58104;Tivoli;;7;; Conad Superstore Tivoli  | EnelX;2;112931;Tivoli ;25;158400;22;1
76.0;54366;1058104;58104;Tivoli;;7;; Conad Superstore Tivoli  | EnelX;2;112931;Tivoli ;36;158401;3.7;1
77.0;48715;1058117;58117;Ardea;;7;;ADS ESSO Ardea BECHARGE;2;170366;Ardea;25;259128;22;1
80.0;4954;1058105;58105;Tolfa;;7;;F2X Tirreno Ovest;2;235813;not avaialble;2;388314;64;1
80.0;4954;1058105;58105;Tolfa;;7;;F2X Tirreno Ovest;2;235813;not avaialble;33;388313;64;1
80.0;4954;1058105;58105;Tolfa;;7;;F2X Tirreno Ovest;2;235813;not avaialble;33;388312;300;1
80.0;4954;1058105;58105;Tolfa;;7;;F2X Tirreno Ovest;2;235813;not avaialble;25;388315;22;1
80.0;4954;1058105;58105;Tolfa;;7;;AdS Tirreno Est A12 direzione Livorno;1;211539;not avaialble;33;352018;300;1
82.0;52937;1058111;58111;Velletri;;7;;Nemi De Santis | EnelX;2;130884;Nemi;25;182738;22;1
82.0;52937;1058111;58111;Velletri;;7;;Nemi De Santis | EnelX;2;130884;Nemi;36;182739;3.7;1
83.0;609;1001127;58091;Roma;Torricola;3;8.0;ADS Q8 Roma Ardeatina | ENELX FAST;2;168754;Roma;2;255743;50;1
83.0;609;1001127;58091;Roma;Torricola;3;8.0;ADS Q8 Roma Ardeatina | ENELX FAST;2;168754;Roma;33;255742;50;1
83.0;609;1001127;58091;Roma;Torricola;3;8.0;ADS Q8 Roma Ardeatina | ENELX FAST;2;168754;Roma;1036;255744;43;1
84.0;4695;1000261;58091;Roma;Trieste;2;2.0;Roma Via Fezzan | EnelX ;2;106362;Roma;25;149316;22;1
84.0;4695;1000261;58091;Roma;Trieste;2;2.0;Via Migiurtinia;4;194117;Rome;25;315413;22;1
84.0;4695;1000261;58091;Roma;Trieste;2;2.0;Via Migiurtinia;4;194117;Rome;36;315414;3.7;1
89.0;287;1000335;58091;Roma;Nomentano;2;2.0;Eneldrive Piazzale delle Provincie;3;58236;Roma;36;73417;3;1
89.0;287;1000335;58091;Roma;Nomentano;2;2.0;Eneldrive Piazzale delle Provincie;3;58236;Roma;25;73416;3;1
93.0;31441;1058122;58122;Fonte Nuova;;7;;Fontenuova Via Lago di Como | EnelX  ;2;156135;Fonte Nuova;25;219344;20;1
93.0;31441;1058122;58122;Fonte Nuova;;7;;Fonte Nuova Parcheggio COOP | EnelX;2;156137;Fonte Nuova;25;219346;22;1
97.0;1534;1000189;58091;Roma;Sallustiano;1;1.0;Eneldrive Boncompagni;1;58237;Roma;36;73419;3.7;1
97.0;1534;1000189;58091;Roma;Sallustiano;1;1.0;Eneldrive Boncompagni;1;58237;Roma;25;73418;22;1
100.0;2427;1000326;58091;Roma;Nomentano;2;2.0;Roma Piazza Bologna | EnelX;2;58235;Roma;25;73414;3;1
100.0;2427;1000326;58091;Roma;Nomentano;2;2.0;Roma Piazza Bologna | EnelX;2;58235;Roma;36;73415;3;1
103.0;3;1000445;58091;Roma;Castel Giubileo;4;3.0;Acea Scuola Maria Stern Nuovo;1;175235;Roma;2;270984;50;1
103.0;3;1000445;58091;Roma;Castel Giubileo;4;3.0;Acea Scuola Maria Stern Nuovo;1;175235;Roma;33;270983;50;1
103.0;3;1000445;58091;Roma;Castel Giubileo;4;3.0;Acea Scuola Maria Stern Nuovo;1;175235;Roma;1036;270985;43;1
135.0;0;1001102;58091;Roma;Ostiense;3;8.0;Talent Gardern Ostiense;1;188545;Roma;25;303732;7.4;1
152.0;256;1000187;58091;Roma;Trevi;1;1.0;Roma Barberini 15 | EnelX;2;130798;Roma;25;182628;22;1
152.0;256;1000187;58091;Roma;Trevi;1;1.0;Roma Barberini 15 | EnelX;2;130798;Roma;36;182629;3;1
152.0;256;1000187;58091;Roma;Trevi;1;1.0;Roma Barberini 19 | EnelX;2;130797;Roma;36;182627;3;1
152.0;256;1000187;58091;Roma;Trevi;1;1.0;Roma Barberini 19 | EnelX;2;130797;Roma;25;182626;22;1
152.0;256;1000187;58091;Roma;Trevi;1;1.0;Roma Barberini 29 | EnelX;2;130799;Roma;25;182630;22;1
152.0;256;1000187;58091;Roma;Trevi;1;1.0;Roma Barberini 29 | EnelX;2;130799;Roma;36;182631;3;1
152.0;256;1000187;58091;Roma;Trevi;1;1.0;Roma Barberini 43 | EnelX;2;130800;Roma;25;182632;22;1
152.0;256;1000187;58091;Roma;Trevi;1;1.0;Roma Barberini 43 | EnelX;2;130800;Roma;36;182633;3;1
153.0;886;1001726;58091;Roma;Prati;2;1.0;Eneldrive Cola di Rienzo;2;58112;Roma;25;73141;3;1
153.0;886;1001726;58091;Roma;Prati;2;1.0;Eneldrive Cola di Rienzo;2;58112;Roma;36;73142;3;1
167.0;3438;1000422;58091;Roma;Monte Sacro;3;3.0;Roma Val Padana | EnelX;4;162800;Roma;25;233801;22;1
167.0;3438;1000422;58091;Roma;Monte Sacro;3;3.0;Roma Val Padana | EnelX;4;162800;Roma;36;233800;3.7;1
175.0;2246;1001858;58091;Roma;Aurelio;3;13.0;Roma Gregorio VII | EnelX;2;58107;Roma;25;73131;3;1
175.0;2246;1001858;58091;Roma;Aurelio;3;13.0;Roma Gregorio VII | EnelX;2;58107;Roma;36;73132;3;1
181.0;61346;1058079;58079;Pomezia;;7;;Torvajanica Meduse | EnelX;2;109801;Pomezia ;25;154635;22;1
181.0;61346;1058079;58079;Pomezia;;7;;Torvajanica Meduse | EnelX;2;109801;Pomezia ;36;154636;3.7;1
181.0;61346;1058079;58079;Pomezia;;7;;Torvajanica Via Gran Bretagna | EnelX;2;113993;Pomezia;36;160172;3.7;1
181.0;61346;1058079;58079;Pomezia;;7;;Torvajanica Via Gran Bretagna | EnelX;2;113993;Pomezia;25;160171;22;1
181.0;61346;1058079;58079;Pomezia;;7;;Eneldrive Spagna;1;57863;Roma;25;72680;22;1
181.0;61346;1058079;58079;Pomezia;;7;;Eneldrive Spagna;1;57863;Roma;36;72681;3.7;1
181.0;61346;1058079;58079;Pomezia;;7;;Torvajanica Piazza Italia | EnelX;2;113994;Pomezia;25;160173;22;1
181.0;61346;1058079;58079;Pomezia;;7;;Torvajanica Piazza Italia | EnelX;2;113994;Pomezia;36;160174;3.7;1
