,counts,index_zmu,POP_TOT_ZMU,zmu,hr,nome_comun,quartiere,tripdistance_m,triptime_m,breaktime_m
13530,4.97,434,2011.0,1002013,16.0,Roma,La Giustiniana,7170,13,199
13531,0.88,371,5651.0,1001911,5.0,Roma,Primavalle,14120,33,550
13532,1.59,371,5651.0,1001911,6.0,Roma,Primavalle,4744,15,619
13533,11.49,83,609.0,1001127,14.0,Roma,Torricola,18457,21,255
13534,0.32,1029,3086.0,1000936,14.0,Roma,Appio-Latino,8400,24,1
13535,2.93,1039,3410.0,1000919,14.0,Roma,Appio-Latino,5610,17,1132
13536,5.01,1130,399.0,1000439,17.0,Roma,Monte Sacro Alto,1000,4,81
13537,1.32,1015,3782.0,1000841,9.0,Roma,Torre Angela,4680,9,22
13538,2.87,525,348.0,1000438,20.0,Roma,Monte Sacro Alto,4700,10,118
13539,250.0,40,12.0,1002043,9.0,Roma,Prima Porta,13300,12,408
13540,6.76,500,2072.0,1058062,10.0,Montelanico,,8507,11,645
13541,0.37,600,13336.0,1058115,22.0,Lariano,,13000,14,1244
13542,48.33,988,269.0,1000808,12.0,Roma,Torre Gaia,18130,24,185
13543,1.92,1000,1039.0,1000831,8.0,Roma,Torrenova,4000,6,61
13544,18.09,651,387.0,1001019,8.0,Roma,Torre Maura,3157,8,398
13545,5.74,785,1046.0,1000307,12.0,Roma,Nomentano,12400,15,1329
13546,3.43,1091,1458.0,1001038,13.0,Roma,Torrenova,6640,18,142
13547,1.25,740,1602.0,1000452,16.0,Roma,Monte Sacro,18800,28,61
13548,11.69,688,1967.0,1002066,10.0,Roma,Tor di Quinto,10304,12,102
13549,153.85,443,52.0,1002027,17.0,Roma,Tor di Quinto,4662,9,545
13550,5.19,1018,1926.0,1000848,8.0,Roma,Acqua Vergine,3150,7,586
13551,0.48,500,2072.0,1058062,22.0,Montelanico,,10500,13,70
13552,1.0,200,1004.0,1001742,0.0,Roma,Della Vittoria,2600,6,62
13553,4.32,582,2779.0,1000948,15.0,Roma,Tuscolano,4550,13,306
13554,15.41,340,1103.0,1001833,8.0,Roma,Aurelio,4294,10,295
13555,3.21,343,4671.0,1001837,13.0,Roma,Aurelio,4480,9,199
13556,3.69,953,7049.0,1000713,5.0,Roma,Tor Sapienza,7569,11,1071
13557,9.58,907,1357.0,1000612,11.0,Roma,Prenestino-Labicano,4376,12,961
13558,12.93,1017,232.0,1000839,6.0,Roma,Torre Angela,12100,17,304
13559,2.85,547,7014.0,1058056,13.0,Marcellina,,5600,9,190
13560,2.52,796,2783.0,1000401,17.0,Roma,Monte Sacro,6485,16,273
13561,30.08,1130,399.0,1000439,15.0,Roma,Monte Sacro Alto,5200,21,296
13562,5.55,503,2703.0,1000480,12.0,Roma,Monte Sacro Alto,14173,22,400
13563,3.84,789,2346.0,1000409,12.0,Roma,Monte Sacro Alto,8355,14,110
13564,55.14,1130,399.0,1000439,13.0,Roma,Monte Sacro Alto,4809,10,1173
